address,balance
PtqrqeFqVVDQik7CPAKkoWf4qqTx3WaSQm8,16741605323
PtUKVjXiUHo69Hv9GHjETBLuEZ9oJhjN4cU,16107072848
PtoGdn6CCp9D7cxzPkKyUH97hndrNTLkfCt,16099651109
PtaMigVqGNKp2s6GTKY33sJFUc7UY47ZQp9,16096282104
PtdbxHCjGAYNKjTB3tJ6iq4EkcS52imikrH,16072432188
Pterg3coS2SqMcgCtSSsSv77VA4WWWgJMu3,15901049813
PtrGKHowvnVVgeoF4yp1CMwRZ5KJVpSGx7i,15544302788
PtZkCKjtc1fPrSKvnbFXC4Z78JnUopFiqHi,15455373337
Ptka6xgtFNymSsWYoPQM52p39TYmeMTniXz,14912581645
PthgjFd7zbyNsb3eYBUxAkmXmQFPGodqMag,14779077829
PtdEgGGVVU9gMCaz8FT5MDb1Qd93U8dp7uR,14656453625
PtotbpBmDzarbZEw6sbYPVnsEqYrCiTQCh9,14622635054
Pte3pRro2xCXBgWyuJZcDMGpF9Px2J8da15,14043092811
PtZ7aQYjBHTVRN9UyaCJ4dHt7xD3CpvV8wU,13768787820
PtU7mg63eN5m1TPmBKg1ez5GRYZNKp1yz1Y,13713567773
PtotMrm2VFeW9g4BpR8gfH7L2PqfeiAorzr,13697222271
PtqZho9pEdThNHP2q1v2Xqh9qZQ46Hewvfb,13657355035
PteaW4F3jhiu9ZexumbFNJuZaWd8i5defKK,13656333625
PtqBpy8bC69bgjBysArNLVd83EUpsPbJtBo,13652241409
PtcjB5cFDaxMQq5yNrU1chbywsh15jiyRdm,13649520779
PtqaZiGHxrN4aZJnvAsQyVaMgnhdpythDYo,13648837019
PtbMWJapfXkqS8a7oCeN46vDx3JjgHoaDn9,13647817970
PtbdqEGQ3f9JKakWMNEmHc3zxPBDGmuLBKa,13646117328
PtoYQtqrUoQWKJcxAH9AyRvyDU1hY3KQ5Yw,13643728406
PtXCAbTv4Bi472cZZmXVva4FoYGzVJQ3rAE,13637934121
Ptb1UhkFUucGg8pYV1swZmH2VjRSkqht6DR,13634526009
PtiAUjnesSLYp7jTvN5DCxcXgTkBF5hVTsk,13634525532
PtcWaQYfrRH1QEi7z8E5BYYe48zkr7FeZtj,13632486041
PtqHjS4BFJytG93FwFfciKVktJGvwQvddQM,13632485021
Ptb3QGUnteaexZ7n7xkaVyjGRFiTfzSQ4mE,13632484390
PtmqWwp8yJHq7fnFjf1KoCbCzUaqqUHTMXp,13632483872
PtXoktyXH2pGPyi8w9Hekan1g6bnZmrcv9M,13632483871
PtfGHCFLFQfXy8mY24ZcLgdJskuJBKWwCej,13632483799
PtnbZaqgWzjBxN7H9kXAsMLvGnAoSGfobdc,13632483777
PtYXxCR48XGR8NKjUutfQ9yGw7iPcDkFQz6,13632483768
PtpNiiEoqbvTDLbhzgMs4RBUgHTt6WQgdfz,13632483720
PtWKFPVrdNeM5qV4krUJ8r1oa64ahBvBWmK,13632483709
Ptove2y9RmAWpDWao6tJHodux1YM2XH4eV5,13632483709
PtVCSgExTMgNX9vM5GkuTuQVhG5ygEBhxdf,13632483658
PtbCoPWekaibbFNKKSzz2gAL39GHa85XUK6,13632483652
PtndfohWs77ahYGdecpPUUszveXZYCxp34h,13632483606
PtgvjjtTEsx7vbcRp8VK83zFVjWE5ok3MhM,13632483602
Ptq8EJiyoHfpzvEM7yZ5jGbxbGzJ8rwVxhN,13632483494
Pti2dsuYrnffyDoedUXwax7Yu28VT3P3pXt,13632483434
PtinKCk2TZ2uwMgsDrmXEK3EcLkEZYzVaKj,13632483107
PtiBHJkHhSyjX9qX2UX12HYm5Wg36MEeNtm,13632482562
PtZoqGWGZPgZeX81jWxLqqyq43EuaCw1qx5,13629074857
PtVCLCa8CXcZd4mM88naioEmWG25Sac4qxF,13629074857
PthiroTdKszyd65NYR5E4949AHJb6o2XigP,13383751456
Ptibg5fKxd6tCPxBWt2Ryp8LrnSK1QMz2w1,12947621088
PtqxEoRJo1Nr2mHUAsdUk6h41eJuX9SXZQM,12947362136
PtaadJSWrDpJiYGnD3RvAWMaTTozcuSrYaa,12881289723
PtUNF8DTSqQFztdU3dVxN3Yb3RqwPkQkwQ6,12815577817
PtmzMK1JeVdGyxWbtJKBe2o6wrMV9gtDKQb,12728029460
Ptd2TNHv1sn14HGNY3hP78p15pk8EU1C7mV,12728029460
PtdEVD4k8C35zKAqMv3fbwF7Kzo2VLixAC7,12728029460
PtWZxi3XemTnTRcDCm6Z6Sd8PYpc2fDwiTA,12727770508
PtTF1qj69o6Gwu3dzbJtTArTZEsbm9w4hjJ,12656514305
Ptf4WCL5WG2MhAfDjEqWs5sLa9QsbkAar46,12580391755
PtfCmHHpGiPBSg5xCM3AwonUCw8vnLVCDoG,12324392841
PtnGWQ58LzJX2nstA2SEsfQtmcsUQUWZLhZ,12303114568
PtdQUVHKqy43SoxAWRhhquhi7rM9dHyYwTP,12290745073
PtrGb7Ex65jTbMiyWozN1xgnkDK2ZgvKHuK,12248785399
PtV5E3b81xpzDtGNiQd1bNmiJ6vUuDBZ7dQ,12195634000
PtjFpVFzfwRqtNmdaq6p3ekYUPLHUb8uMdY,12154192990
Ptqh2TLoXWgbVfWfSpr7oLaFhm8WRkgHQpF,12136195045
PtoAKR6Zk2uzTUvwcAakw1Ds31eNqHHbHqU,11898131077
PtdNuQz8ppuBCum5cAnWZVh18JXo4ge5edG,11856511224
PtV9K2Gvkyz1j6LutnAYuzFcat33hTFZBku,11780424230
PtWGtyKRPuKVRq8M8KsUHrHsSbHUryopFH6,11731511999
Ptb1XfBYyYFaWgLW5EWGAG5199JkZcq6Jvc,11691334974
PtkHJamG7kkeDP3sobnNPDrN2HtvwErgAT2,11559379441
PtfTWDA8tHJquGRHbEmQBWC6cneRFL1feGQ,11532321529
PtXDwT4Lc8jYDW1ZwqPdZSSxoyEXDSGqv9r,11416457716
PtekJ3rC9DuFU4bKUvtEeg4JcvWEM6k17R8,11402710963
PthQSw3WH9x17BhFGbtxv5hqFxaVEe5LKHF,11348332093
PtpFfcGvv9T1ed6e4sSynymaWKgTZErm8G9,11340821334
Pte2Rv2YF4zMy31bCEiQPqPxTnj15oWPSj6,11266433408
PtVyz1outKG47RsokjjRZkVjcqgZsMYLF4c,11239762908
PtYanYk5452V9pkU5PJDfkMRvu5dBexvSsc,11148200908
PtVrRCMeE577WPCBm8q1tbUbzawvFyzfmim,11095852342
Ptnfw1HqJTaDFezTpAWLKZrVFD7Ezb4EsgU,11016665083
